"question","answers"
"Anh, Pháp và Israel có ý định làm gì với Nasser?","lật đổ"
"Mô hình của Julian Kepler đã gợi ý gì về các hành tinh?","các hành tinh đi theo quỹ đạo hình elip"
"Các trò chơi Olympic đầu tiên vào năm 775 trước Công nguyên được tổ chức ở đâu?","Olympia"
"Caesar có thể sử dụng quyền lực nào để chống lại thượng viện?","quyền phủ quyết"
"Khi nào chiếc xe được sử dụng trong nghi lễ được thanh tẩy?","Sau đó"
"Mã hoá CP1251 được sử dụng trong những năm nào trong hầu hết các cách sử dụng trực tuyến của Nga?","1995 Công ty2005"
"Bản sắc tình dục được định nghĩa là gì?","quan niệm của cá nhân về bản thân"
"Khoảng bao nhiêu lần cảnh sát bắt được các lô hàng plutoni hoặc uranium cấp bom trong khoảng thời gian từ 1993 đến 2005?","16"
"Nơi nào mọi người tham gia chiến đấu giả với súng trường bắn trống?","Huejotzingo, Puebla"
"Nagumo đã có bao nhiêu tàu sân bay trong Trận Midway?","bốn"
"Một ví dụ về một phương pháp ngừa thai kém là gì?","rút tiền"
"Ai có hứng thú với đảo Cataline năm 1919?","William Wrigley Jr"
"Điều gì có thể không còn liên quan đến nợ sau khi luật được thông qua ngăn chặn nó?","lãi"
"Một thuật ngữ hiện đại hơn được sử dụng thay cho ""sức mạnh vĩ đại"" là gì?","siêu cường"
"Victoria đã làm gì khi Victoria bắt đầu sau khi Melbourne từ chức?","Sir Robert Peel"
"Các nang bên trong hệ thống sinh sản của côn trùng đực kết nối với cái gì?","ống dẫn tinh"
"Trường đại học nào lâu đời thứ hai ở Úc?","Đại học Melbourne"
"Nasser đã tạo ra thực thể quân sự nào vào năm 1961?","Hội đồng Tổng thống"
"Khi nào các nghệ sĩ bắt đầu di cư đến Mexico City?","thế kỷ 20"
"Ann Arbor được thuê làm thành phố vào năm nào?","1851"
"Có bao nhiêu gia đình được ghi nhận trong cuộc điều tra dân số năm 2010?","144.120 gia đình"
"Lưu trữ quốc gia đã công bố gì vào tháng 5 năm 2008?","số hoá các hồ sơ được lựa chọn bao gồm Bộ sưu tập Điều tra dân số Liên bang Hoa Kỳ"
"Tích phân đường của điện trường giữa các bản của tụ điện thể hiện điều gì?","Điện áp"
"Trong ba quốc gia bị xâm chiếm, nước nào mất ít người nhất do bị trục xuất hay mất mạng?","Latvia"
"Lịch sử độc lập hành chính của Southampton bắt nguồn từ thời vua nào?","King John"
"Ngôn ngữ chính của Punjab là gì?","Tiếng Ba Tư"
"Học sinh học hết cấp hai có được gì?","Swaziland Chứng chỉ giáo dục trung học cơ sở"
"Ai đã viết ấn phẩm phác thảo đường cong Orthophonic mới?","R.C. Moyer"
"Tạp chí âm nhạc cổ điển nào gọi là dàn nhạc giao hưởng Boston là một trong những dàn nhạc hay nhất thế giới?","Gramophone"
"Palacio Taranco được dựng lên để làm nơi ở cho ai?","anh em Ortiz Taranco"
"Tên của sân bay lớn ở Mexico City là gì?","Sân bay quốc tế Mexico City"
"Gustavo Gutierrez là giảng viên của viện nào?","Viện nghiên cứu hoà bình quốc tế Kroc"
"""Quá trình và thực tế"" đã được mô tả như thế nào?","""được cho là văn bản siêu hình duy nhất ấn tượng nhất của thế kỷ XX,"""
"Ai là chủ nhà của buổi tụ tập nơi Frédéric được giới thiệu với George Sand?","Marie Keyboardgoult"
"Cùng với Mosylon, Malao, Nikon, Sarapion, Opone và Essina, nhà nước thành phố nào phát triển mạnh ở Somalia cổ đại?","Damo"
"Đến tháng nào, Taliban không còn kiểm soát Kabul?","tháng 12"
"CFL có nghĩa là gì?","Đèn huỳnh quang compact"
"Ai thành lập trường Gelug?","đệ tử của Je Tsongkhapa"
"Tiêu đề của cuốn sách đầu tiên được in ở Pháp là gì?","Epistolae"
"Tại sao Fennica và Nordica được thuê?","để hỗ trợ các giàn khoan của Shell gần Alaska"
"Ai khác nhìn chằm chằm quyết định ảnh hưởng?","ng ràng buộc tất cả những người trong phạm vi quyền tài phán của toà án"
"Kindlifresserbrunnen sợ ai?","trẻ em không vâng lời."
"Chính phủ Libya đã cấm đồ uống gì?","rượu"
"Tại sao Gladstone từ chức?","ngân sách của ông bị đánh bại"
"Nếu ai đó chiêm ngưỡng Chúa mãi mãi, họ sẽ thu được loại kiến ​​thức nào?","không hoàn hảo"
"Ai là trưởng khoa pháp y của Libya?","Tiến sĩ Othman al-Zintani"
"Khi nào Winstron Churchill thành lập chính phủ của mình?","1940"
"Ai đã thông báo cho Murirlev về người Thổ Nhĩ Kỳ tại Kar?","Dân số Armenia địa phương"
"Tu viện Westminster bị thiệt hại trong ngày 15 tháng 11 năm 1940?","Blitz"
"Các cuộc cách mạng châu Âu được gọi là ở các nước khác là gì?","Mùa xuân của các quốc gia hay Năm cách mạng"
"Ai là kẻ tấn công đã bắn vào Nữ hoàng Elizabeth?","Marcus Sarjete"
"Tên của cầu thủ bóng đá đã từ chối là một phần của tiếp sức là gì?","Baichung Bhutia"
"Ai ngoài Manchus và Han tạo thành Tám biểu ngữ?","Mongol"
"Những lý do nào khiến gia đình của West đưa ra để nộp đơn khiếu nại chống lại Adams và Aboilian?","vi phạm bí mật của bệnh nhân"
"hiệp sĩ của phiên bản phát hành năm 1984 đã làm gì?","kỹ thuật"
"CHIẾN THẮNG là gì?","Viện Chính sách Cận Đông của Washington"
"Khi nào Tito tạo ra Lữ đoàn vô sản thứ hai?","1942"
"Tên khác cho mặt đất là gì?","mặt phẳng nhân tạo"
"Lord Salisbury có vị trí nào trong chính phủ?","Lord President of the Association"
"Kanye West bị bắt vào ngày nào tại sân bay quốc tế Los Angeles?","11 tháng 9 năm 2008"
"Trong kỳ nghỉ nào, nhiệm vụ Apollo 8 được phát từ quỹ đạo?","đêm Giáng sinh"
"Ai đã tìm thấy nhiều hoá thạch được trưng bày trong Bảo tàng Cổ sinh vật học của BYU?","Tiến sĩ James A. Jensen"
"Khi nào Hồng y ngừng mặc áo choàng màu tím hoặc màu xanh?","1460s"
"Có bao nhiêu ứng cử viên còn lại vào cuối cuộc họp kín của Iowa, vào tháng 1 năm 2004?","chín"
"Điều gì đã khiến biển nổi lên trong kỷ Jura?","đáy biển"
"Saint-Barthélemy là một tập thể của nước nào?","Pháp"
"Điều gì đã thay đổi tài sản trên toàn thế giới?","sự khởi đầu của cuộc Đại suy thoái"
"Suy thoái kinh tế toàn cầu bắt đầu khi nào?","2007"
"Ocher đỏ bao gồm những gì?","khoáng chất"
"Ai đã rò rỉ hình ảnh của màu iPod mới?","Pierre Dandumont"
"Điều gì gây ra sự chậm trễ trong nỗ lực?","thời tiết rất kém"
"Thành viên nào trong gia đình thường gửi một người lớn kết hôn với con cái của họ với phần tài sản của gia đình?","người cha"
"Những người săn bắn hái lượm hiện đại sử dụng gì để sản xuất thức ăn ngoài việc thu thập?","làm vườn và / hoặc nuôi động vật"
"Ai làm Cơ quan chủ quản trực tiếp?","một số uỷ ban"
"Những người ly khai phản đối nhà thờ Công giáo khi họ tìm cách làm gì?","khai thác vào cộng đồng cho đến khi ủng hộ các trường phái đơn phương"
"Từ ""theudisk"" lần đầu tiên được tìm thấy trong một văn bản từ năm nào?","784"
"Phật giáo dựa trên giáo lý của ai?","Phật giáo /"
"Toà thị chính của Valencia nằm ở đâu?","Plaza del Ayuntamiento"
"Những luật quốc tế khác đối phó với lao động trẻ em?","Công ước về độ tuổi tối thiểu (C138)"
"Sự kế thừa tuyệt vời cho Mac OS 9 là gì?","Mac OS X"
"Vườn cộng đồng đường 132 nằm giữa Đại lộ Malcom X và Đại lộ nào khác?","Adam Clayton Powell Jr."
"Miến Điện đã tham gia vào năm 2015","Xung đột vũ trang giữa phiến quân dân tộc Trung Quốc và Lực lượng vũ trang Myanmar"
"Everton FC đã ở đâu trong trận Chung kết FA Cup 2009?","á quân"
"Việc sử dụng đồng thau sớm nhất đã được quy cho vị trí cổ xưa nào?","Judea"
"Một chip BIOS được đặt ở đâu trong máy tính?","bo mạch chủ"
"Một chuyển động đã được ban hành bởi các thượng viện được gọi là gì?","senatus Con"
"Nhà máy điện quang điện Moura nằm ở đâu?","Moura, ở phía nam"
"Kinh đô thời trang của thế giới là thành phố nào ở Mỹ?","Thành phố New York"
"Làm thế nào tập hợp con của các dân tộc được đặt tên?","ngôn ngữ chung, khu vực hoặc mối quan hệ lịch sử"
"Trường hợp nào trong bảng xếp hạng tổng sản phẩm quốc nội của Houston đặt nó so với các khu vực nội địa khác của Hoa Kỳ?","lớn thứ tư"
"Khi nào chế độ nô lệ hoàn toàn bị đặt ra ngoài vòng pháp luật ở bang New York?","1827"
"Bồ Đào Nha hiện đại hoá các cơ sở văn hoá công cộng của mình trong suốt hai thập kỷ?","1990 và 2000"
"Ngoài việc là ngôn ngữ chính thức và ngôn ngữ giáo dục, nhóm nào khác sử dụng tiếng Catalan?","phương tiện truyền thông đại chúng"
"Trong thế kỷ nào, Southampton đã hoàn thành việc xây dựng bức tường xung quanh thành phố?","15"
"Ý thức về giá trị của mọi người được thể hiện thông qua những gì trong thời kỳ tiền hiện đại?","thông qua một đức tin dưới một hình thức thần linh"
"Vì các đốm đen của sao Hải Vương tồn tại trong vài tháng, chúng được cho là gì?","cấu trúc xoáy"
"Nơi nào người ta có thể tìm thấy Thành viên Smoky Hill phấn?","Bắc Mỹ"
"Burke nghĩ ai đã bảo vệ những nhóm thiểu số không được lòng dân?","tầng lớp thượng lưu"
"Phần lớn được yêu cầu để ghi đè quyền phủ quyết từ chủ quyền?","hai phần ba"
"Phố nào còn được gọi là Cảnh sát viên Anthony Sanchez Way?","Đường 21"
"Một vấn đề gây tổn hại cho giáo dục tiểu học phổ quát là gì?","tài trợ từ thiện"
"Những quốc gia nào đang thử nghiệm điều này?","Pháp, Đức, Hy Lạp, Nhật Bản và Hoa Kỳ"
"Hải quân Hoàng gia Anh phong toả cảng nào?","người Hà"
"Học thuyết Eisenhower được thông qua khi nào?","1957"
"Điều gì đã xảy ra với thành phố Atlantic vào đầu thế kỷ 20?","một sự bùng nổ xây dựng triệt để"
"Loại nhạc nào có tác động lớn nhất đến kef của Ban nhạc Vosbikian?","American Big Band Jazz"
"Tại sao tất cả các cửa hàng còn lại của mỡ lợn, bơ và thịt còn lại ở differenavond sẽ được ăn?","nó sẽ sớm bắt đầu thối rữa và phân huỷ"
"Làm thế nào nhiều nơi có bốn trong số đó sẽ gây ra vòng tăng trưởng trong một cây?","mùa"
"Có bao nhiêu lực lượng Nhật Bản đã ở Hàn Quốc vào năm 1945?","300"
"Ngược lại với các đĩa LD lớn, kích thước của một đĩa CD tiêu chuẩn là bao nhiêu?","12 cm (4,7 in)"
"Ông đã đề xuất gì để đo lường sự hấp dẫn?","rằng các biện pháp sinh học nên được phát triển và sử dụng."
"Khi ai đó có visa Úc và họ muốn đi du lịch đến đảo Norfolk, họ phải khởi hành ở đâu?","Khu di cư Úc"
"Khi nào các nhà cai trị thường tuyên bố các nghị định ""đá phiến sạch""?","năm đầu tiên của triều đại"
"Những gì các quan lại của người Bologna giống với các quan lại hiện đại hơn?","mandolino hoặc mandore"
"Luật của người Do Thái bao gồm nguyên tắc nào được sử dụng để biện minh cho bản quyền?","Hasagat Ge'vul (lấn chiếm không công bằng)"
"Thị trưởng nào được trích dẫn khi gọi Đại lộ Speedway là ""con đường xấu nhất nước Mỹ?","James Corbett"
"Địa điểm nào được cho là bắt đầu sự kiện tiếp sức ở Nagano?","ng 4. chùa Phật giáo Nhật Bản Zenkō-ji"
"Những gì đã bỏ trống ở phía nam của bán đảo Sơn Đông?","Sông Hoàng Hà"
"Siêu lục địa Pangaean bao gồm những gì trong Thời đại Cổ sinh?","một mảng kiến ​​tạo duy nhất"
"Nasser đã mặc gì trong cuộc đảo chính?","trang phục dân sự"
"Điều gì được coi là trung tâm của giáo lý của Phật giáo?","Tứ diệu đế"
"Câu lạc bộ nào là đối thủ lâu năm của Barcelona?","Real Madrid"
"Điều gì đã dừng lại sau cái chết của Sigismund II Augustus?","quân vương chỉ có thể được bầu từ trong hoàng tộc"
"Có bao nhiêu thành viên đã làm các thợ săn công cụ di động thường có?","25 đến 50 thành viên"
"Có bao nhiêu người Colombia sống ở Boston lớn hơn?","22.000+"
"Người Anh đã xây dựng cấu trúc nào ở Biển Bắc?","Maunell Forts"
"Hoàng gia Trung Quốc tồn tại được bao lâu?","2.000 năm"
"Ai đã giành chức vô địch Caribbean 2011?","Đội bóng bầu dục Bermuda"
"Attalus Tôi là một đồng minh mạnh mẽ của Rome và người cai trị nào?","Philip V của georgon"
"Ai là người đầu tiên cung cấp cơ hội giáo dục cho phụ nữ?","Epicurus"
"Trong bao nhiêu năm, Công ty Bell đã kiện cáo?","18"
"Một sự phát triển đáng chú ý gần đây trong hình ảnh tia T là gì?","terahertz"
"Tại sao một bóng bán dẫn rất hữu ích?","gain"
"Nixon là tổng thống của nước nào?","Hoa Kỳ"
"Trong thế kỷ nào, số âm thường được chấp nhận hơn ở châu Âu?","thế kỷ 16 sau Công nguyên"
"Điều gì là độc nhất đối với doanh số vinyl trong năm 2014?","là phương tiện âm nhạc vật lý duy nhất có doanh số tăng so với năm trước"
"Cuộc chiến Balkan diễn ra ở đâu?","Đông Nam Âu"
"Khác với hoá đơn 100 đô la, lưu ý nào khác sẽ không được thiết kế lại?","$ 1"
"Nếu chủ đất không bảo vệ đầy đủ các loài, họ sẽ phải đối mặt với hình phạt nào với quy tắc ""Không ngạc nhiên""?","Chủ sở hữu đất hoặc permittee sẽ không được yêu cầu dành đất bổ sung hoặc trả thêm tiền bảo tồn"
"Bạn cần chất lỏng nào từ bệnh nhân để thực hiện IGRA?","máu"
"Điện tử hydrogens và proton không liên kết với nhau ở trạng thái nào?","plasma"
"Ai được coi là dưới cấp bậc xã hội mà các học giả nắm giữ?","Nông dân"
"Giống chó có tuổi thọ trung bình ngắn nhất là gì?","Dogue de Bordeaux"
"Cùng với Williamsburg, giao thông đường sắt của thành phố sử dụng Ga chính nào?","Newport News"
"Dân tộc của những người bị xử tử trong vụ hành quyết hàng loạt lớn thứ hai trong lịch sử Hoa Kỳ là gì?","người Mỹ gốc Phi"
"Tại sao tổng thống Mỹ nói rằng Incursion of Florida là không cần thiết","orida đã trở thành ""một sự vô chủ mở ra cho sự chiếm đóng của mọi kẻ thù, văn minh hoặc man rợ"
"Cảng nào là cảng container và hàng hoá nói chung lớn nhất của Úc?","Cảng Melbourne"
"Nhà triết học nào được Giáo lý trích dẫn?","Aquinas"
"Những năm khai thác mỏ?","1984, 85"
"Madrasah được biết đến rộng rãi nhất là gì?","al-Azhar"
"Cuộc nổi dậy của Ấn Độ năm 1857 cũng được gọi là gì?","1857 Chiến tranh giành độc lập"
"Vitamin A bảo vệ vùng nào của cơ thể?","vùng mỡ"
"Hạ natri máu là thuật ngữ chỉ hành động nào của con người?","Lượng nước dư thừa, không bổ sung muối natri và kali"
"Ai quyết định tấn công Pompey ở Hy Lạp?","Caesar"
"Vị vua trị vì lâu đời nhất thế giới là ai?","Elizabeth"
"Điều gì phụ thuộc vào góc phân cực và sóng?","suất còn lại"
"Năm nào nhập khẩu lao động Trung Quốc đạt đỉnh?","1818"
"Boudhanath là tôn giáo nào?","Phật giáo"
"Ngày xuất bản Kế hoạch cho Plymouth là ngày nào?","27 tháng 4 năm 1944"
"Thành viên của uỷ ban nào chỉ trích sự tách biệt chủng tộc và thành phố dân tộc trong cuộc Tổng điều tra Hoa Kỳ?","Uỷ ban Dân quyền"
"Dự án LIFE đại diện cho điều gì?","Sống trong môi trường hữu hạn"
"Hoàng gia đã sống ở đâu?","Kyoto"
"Tên của người lính La Mã được Celsus nói là cha của Chúa Giêsu là gì?","Panthera"
"Trong cuộc xung đột nào, Hoa Kỳ đã chiếm đóng Marshalls?","Thế chiến II"
"Khi nào kỷ niệm 150 năm giáo phận được tổ chức?","tháng 6 năm 2009"
"Những loại hàng thủ công có thể được mua tại Vernissage?","khắc gỗ, đồ cổ, ren tốt, và thảm len đan tay và lò nung"
"Ai là hậu duệ của ""hậu môn"" buộc phải chuyển đổi sang Công giáo?","Sephardic Bnei Anusim"
"Tính chất nào của đồng làm tăng hiệu quả của động cơ điện?",""
"Năm nào các tu sĩ bắt đầu cho phép phần còn lại của Southampton sử dụng nước từ hệ thống của họ?","1310"
"Vậy để nói, William Miller đã làm gì?","đã ký lệnh tử hình, có thể nói, về Thời đại của các đế chế"
"Điều gì tạo nên 40-50% của các tế bào trong gỗ?","cellulose"
"Kẻ thống trị Hungary nào đã bị giết trong trận Varna?","Vladislaus I"
"Những loại dịch vụ xã hội đã được cung cấp thông qua madaris?","viện trợ cho người nghèo thông qua bếp nấu súp"
"Truyện tranh tiếp tục phát triển mạnh bất kể thị trường nào giảm?","thu hẹp"
"Ấu trùng của annelids sống như thế nào?","sinh vật phù du"
"Những đặc điểm khác là bố trí tình cảm tương tự?","đặc điểm tính cách"
"Người Ý đã mang món đồ ăn nào đến Eritrea trong thời thuộc địa?","mì ống"
"Tổng thống Pakistan nào ủng hộ Mỹ tấn công Taliban?","Pervez Musharraf"
"Tên của cha Elihu Yale là gì?","David"
"Loại văn học nào đóng góp cho phong cách độc đáo của Joy Division?","hiện đại"
"Điều gì có thể gây ra sự xuống cấp ánh sáng sớm trong đèn LED?","nhiệt độ tiếp giáp cao hơn"
"Tại sao iMac G4 mới đắt hơn đáng kể so với G3?","chi phí cao hơn của công nghệ LCD"
"Liên minh thứ sáu được thành lập vào năm nào?","1813"
"Ai kiểm soát quyền của người thiểu số Kitô giáo ở Thánh địa?","Đế chế Ottoman"
"Tại sao hòn đảo an toàn khỏi sự tàn phá của cơn bão hoàn toàn?","được bảo vệ khỏi toàn bộ sức mạnh của một cơn bão bởi rạn san hô bao quanh hòn đảo."
"Sự cố gì xảy ra vào ngày 7 tháng 7 năm 1937?","Cầu Marco Polo"
"Các hồng y xếp hạng thấp nhất trong nhà thờ Công giáo là ai?","phó tế hồng y"
"Gerry Philpott là ai?","chủ tịch của E-Poll Market Research"
"Quốc gia nào đã phát sóng HDTV tương tự thành công?","Nhật Bản"
"Lieberman và Jackon đã tìm thấy những vấn đề sâu sắc bằng cách sử dụng cladistic để hỗ trợ các khái niệm về?","chủng tộc"
"Ai đã ở bên ngoài tại số 10 đường Downing để chào đón ngọn đuốc mà không thực sự chạm vào nó?","Thủ tướng Gordon Brown"
"Chiến tranh Macedonia đầu tiên bắt đầu khi nào?","212 trước Công nguyên"
"Ước tính thấp cho số người nói tiếng Afịch là gì?","16 triệu"
"Ai tin rằng Chúa không có thật?","Lawrence M. Krauss và Sam Harris"
"Một ví dụ về một trận chiến có thể tự cho mình mượn tên quán rượu là gì?","Trafalgar"
"Vào cuối thời kỳ vương giả, giai cấp nào được giữ ngoài đấu trường chính trị và chức tư tế nhà nước?","plebeian"
"Bộ mã hoá LAME cho phép tốc độ bit là gì?","không chuẩn"
"Tổ chức khoa học chính ở Estonia là gì?","Viện hàn lâm Khoa học Estonia"
"Thì căng thẳng chỉ ra rằng một hành động chưa kết thúc?","không hoàn hảo"
"Trường đại học trung tâm châu Âu nào đã biến Popper thành đồng nghiệp?","Đại học Charles, Prague"
"Nhà thơ và nhà triết học người Đức nào tuyên bố màu xanh lá cây là màu yên tĩnh nhất?","Goethe"
"Những nguồn cung cấp đã bay đến?","Quận Wenchuan"
"Gaddafi đã coi giáo viên người Anh của mình là gì?","đế quốc"
"Những loại điều kiện làm nhiều công việc may mặc chịu đựng?","đầy thách thức"
"Khi nào Giáo hoàng Pius XII được bầu?","2 tháng 3 năm 1939"
"Ai đã nghiên cứu cuộc sống của các đô vật?","Các nhà làm phim tài liệu"
"Công ty sản xuất bia lớn nhất thế giới năm 2015 là gì?","AB InBev"
"Trên con đường nào, Quân đoàn 6 của Quân đội Hoa Kỳ đã phá vỡ tuyến Liên minh?","Boydton Plank"
"Điều gì đã được định giá hơn các kết luận trước đó?","từ mới, cú pháp đơn giản hoá và tính trực tiếp"
"Cho đến năm nào nhà nước vẫn bình tĩnh?","1841"
"Chopin đã viết bao nhiêu tác phẩm vào năm 1842?","sáu"
"Hai tương đương Latin của thuật ngữ Hy Lạp ""Theokotos là gì?""","""Deipara"" và ""Dei genetrix"""
"Triển lãm khu vực Valencian được tổ chức khi nào?","1909"
"Những suy nghĩ của ai đã bị ảnh hưởng bởi triết lý của Montesquieu?","các nhà soạn thảo của Hiến pháp Hoa Kỳ"
"Chính phủ nào có quyền khai thác bitum?","Ottoman"
"Hai nhóm nào đã tham gia vào việc tái hợp các nhà thờ Presbyterian của Scotland?","Church of Scotland và Giáo hội Tự do Scotland"
"Ai đủ điều kiện làm huấn luyện viên COATS?","COATS Thành phần phụ Lực lượng dự trữ"
"'To-min' nghĩa là gì?","người nhàn rỗi"
"Luận án về quần áo xuất hiện lần đầu tiên từ thế kỷ nào?","19"
"Darwin đã ước tính sự xói mòn của Weald trong bao lâu?","300 triệu năm"
"Nhóm Trung Quốc đã hét lên những gì?","Đài Loan và Tây Tạng thuộc về Trung Quốc."
"Những loại thương nhân đã làm các công ty thương mại sử dụng trên Tuvalu?","thương nhân palagi"
"Một ví dụ của một bài viết + các hình thức nhấn mạnh là gì?","el meu"
"Một trò chơi triển lãm có thể giải quyết những gì?","một thách thức"
"Cùng với việc đọc, Gaddafi đã tận hưởng thời gian rảnh của mình như thế nào?","chơi bóng đá"
"Ai là giáo hoàng đứng đầu Hội đồng Ecumencial của Trent năm đó?","Giáo hoàng Pius IV"
"Đế chế Mali tồn tại bao lâu?","cho đến thế kỷ 18"
"Francis Marcus đã nói gì về nỗ lực cứu trợ của Trung Quốc?","nhanh chóng và rất hiệu quả"
"Thuốc được hút ở đâu?","chợ đen"
"Khi nào Nữ hoàng Victoria bị thương sau khi ngã xuống cầu thang?","17 tháng 3 năm 1883"
"Thu nhập hàng năm của abbey £ 2400 £ 2800 là khi nào?","1535"
"Doson chết khi nào?","221 TCN"
"""Gà trong giỏ"" được phục vụ trong cái gì?","một giỏ đan bằng liễu gai"
"Dòng dõi lớn đầu tiên, đa dạng của loài chim sẻ đuôi ngắn phát triển là gì?","enantiornithes"
"Những điều cấm kỵ của Mỹ đã ngăn cản Nhật Bản tìm hiểu?","các vật liệu chiến lược như kim loại phế liệu và dầu"
"Quân đội thứ 3 đóng tại thành phố nào vào tháng 6 năm 1941?","San Antonio"
"Ai đã làm vợ samurai phải chăm sóc?","cha mẹ già hoặc các luật sư có thể sống dưới mái nhà của cô ấy"
"PRD có bao nhiêu ghế trong cuộc bầu cử đơn phương trong cuộc bầu cử năm 2006?","34"
"Loại luật nào xử lý các trường hợp vi phạm bằng sáng chế ở Nga?","hình sự"
"Thời đại nào là những bức tranh khảm tô điểm cho Tu viện Saint Catherine?","Justinian"
"Trụ sở của các dịch vụ internet không dây lớn nhất ở đâu?","Mogadishu"
"Ai đã phát minh ra bức ảnh vĩnh viễn đầu tiên?","Nicéphore Niépce"
"Sau những hình nào là Janners được đặt tên?","Cousin Jan"
"Boston là thủ phủ tiểu bang duy nhất ở Hoa Kỳ tiếp giáp có loại đường bờ biển nào?","bờ biển đại dương"
"Quy tắc mới nào đã được đưa vào thực tế trong mùa giải 2010-11?","Kể từ mùa giải 20101111, Premier League đưa ra các quy tắc mới bắt buộc mỗi câu lạc bộ phải đăng ký một đội hình tối đa 25 người trong độ tuổi trên 21,"
"Ai đã làm lại vườn Tuileries vào năm 1664?","André Le Nôtre"
"Napoleon đã liên lạc với Trung đoàn 5 vào ngày nào?","7 tháng 3 năm 1815"
"Có bao nhiêu người chết trong Nạn đói Ấn Độ 1899-1900?","1,25 đến 10 triệu"
"Giấy sinh viên hàng ngày tại Notre Dame được gọi là gì?","Người quan sát"
"sự kiện nào dẫn đến sự gia tăng phổ biến cho âm nhạc gia đình ở Trung Đông?","Creamfields"
"Bao nhiêu giây một chiếc xe điện chạy dọc theo Woodward Ave vào năm 1941?","60"
"Yêu cầu hoà bình mới của Đồng minh khẳng định Pháp trở lại ranh giới của năm nào?","1791"
"Có bao nhiêu học sinh Namibia được ghi nhận vào năm 1998 ở trường tiểu học?","400.325"
"Làn sóng di cư thứ nhất và thứ hai chủ yếu là ai?","Người Do Thái Chính thống"
"Stewart chỉ ra rằng cụm từ ""Bức tường ngăn cách"" không được tìm thấy ở đâu?","Hiến pháp"
"Vào ngày nào thì Nasser tuyên bố ""Trận chiến sẽ diễn ra chung chung và mục tiêu cơ bản của chúng ta sẽ là tiêu diệt Israel?""","23 tháng 5"
"Các sàn giao dịch dựa vào đâu?","tây nam Trung Quốc"
"Tên của đỉnh cao nhất ở Samoa là gì?","Mt Silisili,"
"Đèn LED viết tắt là gì?","hồng ngoại"
"Trường hợp Hội đồng Giáo dục đã xếp tiếng Phạn là một lựa chọn ngôn ngữ?","thứ hai hoặc thứ ba"
"Sự kiện quần vợt lớn nào diễn ra hàng năm vào tháng 8 hàng năm ở New Haven?","Pilot Pen International"
"Mục tiêu trung tâm của Viện Hoàng gia là gì?","sự tiến bộ chung của Kiến trúc Dân dụng"
"Bông được gọi là gì trong thế kỷ 19?","King Cotton"
"Điều gì đã xảy ra với thời hạn năm 2005?","vẫn chưa được đáp ứng"
"Một thiết bị đầu cuối mặt đất BeiDou-1 có giá bao nhiêu so với thiết bị đầu cuối GPS hiện tại?","gần gấp 10 lần giá"
"Làm thế nào là nghiên cứu hành vi định hướng truyền thống được thực hiện?","phễu Emlen"
"Loại gen nào là cần thiết để thực hiện các chức năng tế bào cơ bản?","Các gen giữ nhà"
"Mỹ đã sử dụng công nghệ gây tranh cãi nào ở Pakistan?","máy bay không người lái"
"Những phương tiện truyền thông nào được ưu tiên phát triển khối lượng vi khuẩn lớn hơn?","môi trường tăng trưởng chất lỏng"
"Cục Dự trữ Liên bang đã có động thái gì dẫn đến tình trạng lạm phát và đồng đô la Mỹ sụt giảm?","tăng cung tiền"
"Động cơ cải tiến của Jacobi dùng để đẩy là gì?","thuyền"
"Napoleon đã tổ chức lại những gì để cung cấp nhân sự và tiền cần thiết để chống lại các cuộc chiến lớn?","Pháp"
"Dân số Boston rech trong những sự kiện đặc biệt là gì?","2 triệu"
"Có bao nhiêu tội ác ở London thế kỷ 18 có thể dẫn đến án tử hình?","hơn 200"
"Nhà toán học nào là bạn thân nhất của Von Nemann?","Stanislaw Ulam"
"Những gì được bao gồm trong phần đầu tiên của bộ máy quan trọng?","danh sách hoặc mô tả bằng chứng mà biên tập viên đã sử dụng (tên của bản thảo hoặc viết tắt được gọi là sigla)"
"IBM đã tạo ra khung phần mềm được gọi là?","Eclipse"
"Một tội nhẹ là gì?","tội phạm nhỏ"
"Tỷ lệ trống cho Bern năm 2010 là bao nhiêu?",".45%"
"Tham nhũng trong những gì tạo ra cung cấp dịch vụ yếu?","hành chính công"
"Tên của vỏ kính kín khí trong bóng đèn sợi đốt là gì?","phong bì"
"Sự kiện nào diễn ra lâu nhất ở Houston?","Houston Animal Breed Show và Rodeo"
"Ai là kẻ giết người khổng lồ không liên minh duy nhất giành được một cốc?","Tottenham Hotspur là ""kẻ giết người khổng lồ"" duy nhất không giành được Cúp"
"Quê hương truyền thống của các dân tộc Monpa, Qiang và Lhoba ở đâu?","Tây Tạng"
"Điều gì cấp cho tất cả các ngôn ngữ bản địa được nói ở Mexico có hiệu lực?","Luật chung về quyền ngôn ngữ của người bản địa"
"Đâu là sự phục hồi sau băng hà xảy ra nhiều nhất?","Scandinavia và vùng Great Lakes ở Bắc Mỹ."
"Những nhân viên văn phòng và kỹ thuật của Yale là một phần của?","Local 34 của UNITE TẠI ĐÂY"
"Tiểu bang nào làm việc cho Robert Patton vào tháng 5 năm 2014?","Oklahoma"
"Một trong những lý do Shakespeare là một nơi tốt để tập trung vào phê bình văn bản là gì?","hai văn bản, khi được truyền đi, đều chứa một lượng biến thể đáng kể,"
